,genre_rel_id,title,Genre
0,1,10 Cloverfield Lane,1.0
1,2,10 Cloverfield Lane,2.0
2,3,10 Cloverfield Lane,3.0
3,4,10 Cloverfield Lane,4.0
4,5,10 Cloverfield Lane,5.0
5,6,10 Cloverfield Lane,6.0
6,7,10 Cloverfield Lane,7.0
7,8,10 Years,4.0
8,9,10 Years,8.0
9,10,10 Years,9.0
10,11,100 Bloody Acres,10.0
11,12,100 Bloody Acres,7.0
12,13,100 Bloody Acres,8.0
13,14,100 Streets,4.0
14,15,1001 Grams,4.0
15,16,102 Dalmatians,11.0
16,17,102 Dalmatians,8.0
17,18,102 Dalmatians,12.0
18,19,10th & Wolf,4.0
19,20,10th & Wolf,5.0
20,21,10th & Wolf,6.0
21,22,10th & Wolf,13.0
22,23,12 Hour Shift,1.0
23,24,12 Hour Shift,6.0
24,25,12 Hour Shift,7.0
25,26,12 Hour Shift,8.0
26,27,12 Mighty Orphans,4.0
27,28,12 Mighty Orphans,14.0
28,29,12 Mighty Orphans,15.0
29,30,12 Rounds,2.0
30,31,12 Rounds,6.0
31,32,12 Rounds,13.0
32,33,12 Strong,4.0
33,34,12 Strong,2.0
34,35,12 Strong,14.0
35,36,12 Strong,16.0
36,37,12 Years a Slave,4.0
37,38,12 Years a Slave,17.0
38,39,12 Years a Slave,14.0
39,40,127 Hours,4.0
40,41,127 Hours,11.0
41,42,127 Hours,17.0
42,43,127 Hours,6.0
43,44,13 Hours: The Secret Soldiers of Benghazi,1.0
44,45,13 Hours: The Secret Soldiers of Benghazi,2.0
45,46,13 Hours: The Secret Soldiers of Benghazi,4.0
46,47,13 Hours: The Secret Soldiers of Benghazi,6.0
47,48,13 Hours: The Secret Soldiers of Benghazi,16.0
48,49,13 Minutes,4.0
49,50,13 Minutes,17.0
50,51,13 Minutes,16.0
51,52,13 Sins,7.0
52,53,13 Sins,6.0
53,54,13 Tzameti,1.0
54,55,13 Tzameti,4.0
55,56,13 Tzameti,6.0
56,57,13 Tzameti,13.0
57,58,13th,18.0
58,59,13th,13.0
59,60,15 Minutes,1.0
60,61,15 Minutes,2.0
61,62,15 Minutes,4.0
62,63,15 Minutes,6.0
63,64,15 Minutes,13.0
64,65,16 Blocks,2.0
65,66,16 Blocks,4.0
66,67,16 Blocks,6.0
67,68,16 Blocks,13.0
68,69,17 Again,8.0
69,70,17 Again,4.0
70,71,17 Again,9.0
71,72,17 Blocks,18.0
72,73,2 Days in New York,19.0
73,74,2 Days in New York,8.0
74,75,2 Fast 2 Furious,2.0
75,76,2 Fast 2 Furious,6.0
76,77,2 Fast 2 Furious,13.0
77,78,2 Guns,2.0
78,79,2 Guns,4.0
79,80,2 Guns,6.0
80,81,2 Guns,8.0
81,82,2 Guns,13.0
82,83,"20,000 Days on Earth",18.0
83,84,"20,000 Days on Earth",4.0
84,85,"20,000 Days on Earth",20.0
85,86,20th Century Women,4.0
86,87,20th Century Women,8.0
