sep=,
,movie_ID,title,genre,metascore,userscore,url,sales_id
0,1,!Women Art Revolution,Documentary,70,,https://www.metacritic.com/movie/!women-art-revolution,
1,2,10 Cloverfield Lane,"Action,Sci-Fi,Drama,Mystery,Thriller,Horror",76,7.7,https://www.metacritic.com/movie/10-cloverfield-lane,17437.0
2,3,10 Items or Less,"Drama,Comedy,Romance",54,5.8,https://www.metacritic.com/movie/10-items-or-less,
3,4,10 Years,"Drama,Comedy,Romance",61,6.9,https://www.metacritic.com/movie/10-years,10868.0
4,5,100 Bloody Acres,"Horror,Comedy",63,7.5,https://www.metacritic.com/movie/100-bloody-acres,13359.0
5,6,100 Streets,Drama,44,6.1,https://www.metacritic.com/movie/100-streets,2085.0
6,7,"1,000 Times Good Night",Drama,57,6.8,https://www.metacritic.com/movie/1000-times-good-night,
7,8,"10,000 BC","Adventure,Drama,Fantasy",34,4.6,https://www.metacritic.com/movie/10000-bc,
8,9,"10,000 km","Drama,Comedy,Romance",75,7.4,https://www.metacritic.com/movie/10000-km,
9,10,1001 Grams,Drama,65,,https://www.metacritic.com/movie/1001-grams,13396.0
10,11,ReykjavÃ­k,"Comedy,Romance",68,5.4,https://www.metacritic.com/movie/101-reykjavik,
11,12,102 Dalmatians,"Comedy,Family",35,5.1,https://www.metacritic.com/movie/102-dalmatians,18619.0
12,13,10th & Wolf,"Drama,Mystery,Thriller,Crime",36,6.7,https://www.metacritic.com/movie/10th-wolf,18443.0
13,14,11 Flowers,Drama,71,,https://www.metacritic.com/movie/11-flowers,
14,15,11 Minutes,"Drama,Thriller",51,7.5,https://www.metacritic.com/movie/11-minutes,
15,16,11/8/16,Documentary,62,,https://www.metacritic.com/movie/11816,
16,17,12,"Drama,Thriller,Crime,War",72,7.4,https://www.metacritic.com/movie/12,20010.0
17,18,12-12-12,Documentary,54,,https://www.metacritic.com/movie/12-12-12,
18,19,12 Hour Shift,"Thriller,Horror,Comedy",63,5.8,https://www.metacritic.com/movie/12-hour-shift,25394.0
19,20,12 Mighty Orphans,"History,Sport",44,6.6,https://www.metacritic.com/movie/12-mighty-orphans,29427.0
20,21,12 O'Clock Boys,"Biography,Documentary",68,4.6,https://www.metacritic.com/movie/12-oclock-boys,
21,22,12 Rounds,"Action,Thriller,Crime",38,5.0,https://www.metacritic.com/movie/12-rounds,19375.0
22,23,12 Strong,"Action,Drama,History,War",54,6.3,https://www.metacritic.com/movie/12-strong,15919.0
23,24,12 Years a Slave,"Biography,Drama,History",96,8.0,https://www.metacritic.com/movie/12-years-a-slave,10452.0
24,25,12:08 East of Bucharest,"Drama,Comedy,Music",77,7.9,https://www.metacritic.com/movie/1208-east-of-bucharest,
25,26,127 Hours,"Adventure,Biography,Drama,Thriller",82,8.1,https://www.metacritic.com/movie/127-hours,13013.0
