,sales_id,title,url,worldwide_box_office,production_budget,opening_weekend,theatre_count,movie_ID
0,1,Bakha Satang,https://www.the-numbers.com/movie/Bakha-Satang-(S-Korea),76576,,,,
1,2,Antitrust,https://www.the-numbers.com/movie/Antitrust,17865209,30000000,5486209,2433,781
2,3,Santitos,https://www.the-numbers.com/movie/Santitos,,,,,7172
3,4,Frank McKlusky C.I.,https://www.the-numbers.com/movie/Frank-McKlusky-C-I,,,,,
4,5,A Walk to Remember,https://www.the-numbers.com/movie/Walk-to-Remember-A,46060861,11000000,12177488,2411,366
5,6,Zig Zag,https://www.the-numbers.com/movie/Zig-Zag,,,1649,1,
6,7,TakhtÃƒÂ© siah,https://www.the-numbers.com/movie/Takhte-siah,,,1500,5,
7,8,"Angry Monk: Reflections on Tibet, The",https://www.the-numbers.com/movie/Angry-Monk-Reflections-on-Tibet-The,,,2125,1,
8,9,30 Years to Life,https://www.the-numbers.com/movie/30-Years-to-Life,,,3376,1,
9,10,The Killing of John Lennon,https://www.the-numbers.com/movie/Killing-of-John-Lennon-The,,,3077,1,9166
10,11,Mad Money,https://www.the-numbers.com/movie/Mad-Money,25044057,22000000,7736452,2470,5272
11,12,Little Chenier,https://www.the-numbers.com/movie/Little-Chenier,,,37318,17,
12,13,Over Her Dead Body,https://www.the-numbers.com/movie/Over-Her-Dead-Body,21596074,10000000,4025115,1977,6326
13,14,O Ano em Que Meus Pais SaÃƒÂ­ram de FÃƒÂ©rias,https://www.the-numbers.com/movie/Ano-em-Que-Meus-Pais-Sairam-de-Ferias-O,2607117,,80655,18,
14,15,120,https://www.the-numbers.com/movie/120-(Turkey),1334204,,,,
15,16,The Other Boleyn Girl,https://www.the-numbers.com/movie/Other-Boleyn-Girl-The,78269970,40000000,8203061,1166,9532
16,17,A Lawyer Walks into a Bar,https://www.the-numbers.com/movie/Lawyer-Walks-into-a-Bar-A,,,985,1,
17,18,La Rondine,https://www.the-numbers.com/movie/Rondine-La,,,,,
18,19,Jodaeiye Nader az Simin,https://www.the-numbers.com/movie/Jodaeiye-Nader-az-Simin,24426169,800000,59481,3,
19,20,Pariah,https://www.the-numbers.com/movie/Pariah-(2011),,,48579,4,6394
20,21,War Horse,https://www.the-numbers.com/movie/War-Horse,156815529,70000000,7515402,2376,10860
21,22,Habemus Papam,https://www.the-numbers.com/movie/Habemus-Papam,10404075,,31368,3,
